Qualifications_ID,QualCode,QualName,Credits,NQF level,Qualification Type,Descriptor,Specialisation,Sub_Specialisation,Field,ID,ETQAs_ID
1,,,,,,,,,,1,1
1,,,,,,,,,,2,3
1,,,,,,,,,,3,4
1,,,,,,,,,,4,5
1,,,,,,,,,,5,8
1,,,,,,,,,,6,11
1,,,,,,,,,,7,14
1,,,,,,,,,,8,21
10,,2D Animation,,,Clarify,2D Animation,,,IT,9,16
1000,115176,U/S: Explain the cold chain process,4,NQF 2,Unit standard,,,,,10,20
1001,115177,U/S: Pre-sort fruit,3,NQF 2,Unit standard,,,,,11,20
1002,115178,U/S: Pack fruit,5,NQF 2,Unit standard,,,,,12,20
1003,115179,U/S: Palletise fruit,4,NQF 2,Unit standard,,,,,13,20
1004,115180,U/S: Operate fruit sizing machine,8,NQF 3,Unit standard,,,,,14,20
1005,115181,U/S: Apply hygiene procedures,4,NQF 2,Unit standard,,,,,15,20
1006,115182,U/S: Operate carton assembly machinery,8,NQF 3,Unit standard,,,,,16,20
1007,115186,U/S: Apply safety and health procedures,6,NQF 2,Unit standard,,,,,17,20
1008,115187,U/S: Explain product characteristics,4,NQF 2,Unit standard,,,,,18,20
1009,115188,U/S: Apply environmental protection procedures,4,NQF 2,Unit standard,,,,,19,20
1010,115190,U/S: Demonstrate an understanding of the basic requirements of the basic requirements of different fruit markets,5,NQF 2,Unit standard,,,,,20,20
1011,115191,U/S: Perform quality tests on fruit,8,NQF 3,Unit standard,,,,,21,20
1012,115193,U/S: Grade fruit,5,NQF 2,Unit standard,,,,,22,20
1013,115195,U/S: Monitor fruit treatment process,8,NQF 3,Unit standard,,,,,23,20
1014,115197,U/S: Store fruit,8,NQF 3,Unit standard,,,,,24,20
1015,115200,U/S: Dispatch final product,8,NQF 3,Unit standard,,,,,25,20
1016,115201,U/S: Receive fruit,5,NQF 3,Unit standard,,,,,26,20
1017,115202,U/S: Operate fruit packing line machine,10,NQF 3,Unit standard,,,,,27,20
1018,115358,U/S: Apply information gathering techniques for computer system development ,7,NQF 5,Unit standard,,,,,28,9
1019,115359,U/S: Demonstrate an understanding of the handling of error in a computer programming environment ,2,NQF 4,Unit standard,,,,,29,9
1020,115360,U/S: Demonstrate fourth generation language computer programming skills ,7,NQF 5,Unit standard,,,,,30,9
1021,115361,U/S: Create digitised text for a multimedia/web-based computer application ,8,NQF 6,Unit standard,,,,,31,9
1022,115362,U/S: Manage software development source files using appropriate tools ,5,NQF 5,Unit standard,,,,,32,9
1023,115363,U/S: Apply fundamental principles of Object Oriented Programming to solve a given problem ,10,NQF 5,Unit standard,,,,,33,9
1024,115364,U/S: Create animation for a multimedia/web-based computer application ,10,NQF 5,Unit standard,,,,,34,9
1026,115365,U/S: Apply the principles of designing computer system inputs and outputs ,7,NQF 5,Unit standard,,,,,35,9
1026,115365,U/S: Apply the principles of designing computer system inputs and outputs ,7,NQF 5,Unit standard,,,,,36,21
1027,115366,U/S: Create graphic elements for a multimedia/web-based computer application,10,NQF 5,Unit standard,,,,,37,9
1029,115367,U/S: Demonstrate logical problem solving and error detection techniques ,8,NQF 5,Unit standard,,,,,38,9
1029,115367,U/S: Demonstrate logical problem solving and error detection techniques ,8,NQF 5,Unit standard,,,,,39,21
103,,Cisco Certified Networking Associate (CCNA),,,Cisco,Cisco Certified Networking Associate (CCNA),CCNA,,IT,40,16
1030,115368,U/S: Apply advanced HTML and associated techniques to build a web site for business applications ,12,NQF 5,Unit standard,,,,,41,9
1031,115369,U/S: Design and build a web-site using simple HTML,5,NQF 5,Unit standard,,,,,42,9
1032,115370,U/S: Create digitised still images for a multimedia/web-based computer application ,10,NQF 5,Unit standard,,,,,43,9
1033,115371,U/S: Create digitised sound for a multimedia/web-based computer application,10,NQF 5,Unit standard,,,,,44,9
1034,115372,U/S: Demonstrate an understanding of tools and products available for web-site development ,3,NQF 5,Unit standard,,,,,45,9
1035,115373,U/S: Demonstrate an understanding of sort and search techniques used in computer programming ,6,NQF 5,Unit standard,,,,,46,9
1036,115374,U/S: Demonstrate an understanding of the use of web-sites in business ,4,NQF 5,Unit standard,,,,,47,9
1037,115375,U/S: Create digitised video for a multimedia/web-based computer application ,10,NQF 5,Unit standard,,,,,48,9
1037,115375,U/S: Create digitised video for a multimedia/web-based computer application ,10,NQF 5,Unit standard,,,,,49,20
1038,115376,U/S: Demonstrate an understanding of the principles of implementing and managing a web server,12,NQF 5,Unit standard,,,,,50,9
1039,115377,U/S: Explain the IT components of an e-Commerce system,4,NQF 5,Unit standard,,,,,51,9
104,,Cisco Information Technology Essentials (ITE),,,Cisco,Cisco Information Technology & Computer Science,ITE,,IT,52,16
1040,115378,U/S: Demonstrate an understanding of advanced object-oriented programming ,14,NQF 5,Unit standard,,,,,53,9
1041,115378,U/S: Demonstrate an understanding of advanced object-oriented programming ,14,NQF 6,Unit standard,,,,,54,9
1042,115379,U/S: Create object scripts for a multimedia/web-based computer application ,20,NQF 5,Unit standard,,,,,55,9
