etqa_acro,etqa_full,etqa_url
Other,Unspecified, http://kartoza.com/
CHE,Council on Higher Education,http://www.che.ac.za/ 
UMALUSI,Council for Quality Assurance in General and Further Education and Training,http://www.umalusi.org.za/ 
QCTO,Quality Council for Trades & Occupations,http://www.saqa.org.za/docs/qcto/index.php 
FASSET,Finance and Accounting Services Sector Education and Training Authority,http://www.fasset.org.za/ 
BANKSETA,Banking Sector Education and Training Authority,http://www.bankseta.org.za/ 
CHIETA,Chemical Industries Education and Training Authority,http://www.chieta.org.za/ 
FP & MSETA ,Fibre Processing Manufacturing Sector Education and Training Authority,http://www.fpmseta.org.za/ 
CETA,Construction Education and Training Authority,http://www.ceta.org.za/ 
ETDP,"Education, Training and Development Practices Sector Education and Training Authority",http://www.etdpseta.org.za/ 
EWSETA,Energy and Water Sector Education and Training Authority,http://www.eseta.org.za/ 
FOODBEV,Food and Beverages Manufacturing Industry Sector Education and Training Authority,http://www.foodbev.co.za/ 
HWSETA,Health and Welfare Sector Education and Training Authority,http://www.hwseta.org.za/ 
INSETA,Insurance Sector Education and Training Authority,http://www.inseta.org.za/ 
LGSETA,Local Government Sector Education and Training Authority,http://www.lgseta.co.za/ 
MICT,"Media, Information and Communication Technologies Sector Education and Training",http://www.mict.org.za/ 
MQA,Mining Qualifications Authority,http://www.mqa.org.za/ 
MERSETA,"Manufacturing, Engineering and Related Services Sector Education and Training Authority",http://www.merseta.org.za/ 
SASSETA,Safety and Security Sector Education & Training Authority,http://www.sasseta.org.za/ 
AGRISETA,Agriculture Sector Education and Training Authority,http://www.agriseta.co.za/ 
PSETA,Public Service Sector Education and Training Authority,http://www.pseta.org.za/ 
SERVICES SETA ,Services Sector Education and Training Authority,http://www.serviceseta.org.za/ 
CATHSSETA,"Culture, Arts, Tourism, Hospitality and Sports Sector Education and Training Authority",http://www.cathsseta.org.za/ 
TETA,Transport Education and Training Authority,http://www.teta.org.za/ 
W & RSETA ,Wholesale and Retail Sector Education and Training Authority,http://www.wrseta.org.za/ 
