Centre address	No_Street	StreetName	Suburb	ID
				910
"B4 Century Square 
Heron Crescnt 
Century C 
7441"		Heron Crescent	Century City	4
"19A Oewerpark, Rokewood Avenue
Stellenbosc 
7613"		Rokewood Avenue	Stellenbosch	60
				85
Cape Town, Paarl, Stellenbosch, Worcester			Paarl	123
99 Stadium on Main Road Claremont, 2nd Floor		Main Road	Claremont	160
"53 Main Rd,
Vredenbug, 
7380"	53	Main Rd	Vredenburg	161
Roodebloem Office Park 20 Bella Road Rosenpark Bellville 7530	20	Bella Road	Rosenpark	184
"Triangle House, 13th Floor
22 Riebeek Street
Cape To 8001"	22	"
Riebeek Street"	Cape Town	186
 First Floor, SAB&T House, Cnr Birmingham & Canterbury Road, N1 City, Goodwood, 7460	Cnr	Birmingham & Canterbury Road	N1 City	189
13 Blankenberg Street, Belle Cape Building, Bellville,7530	13	Blankenberg Street	Belle Cape Building	203
22 Church Street, Durbanville, 7550	22	Church Street	Durbanville	209
"Old Oak Office Park
C/O Old Oak & Durban Roa d
Bellville, 7530"	Cnr	Old Oak & Durban Road	Bellville	291
"13 Octofin House
Fairways Office Park
Somerset West, 7130"			Somerset West	305
25 Saint James Street, Audas Estate, Somerset West, 7130	25	Saint James Street	Audas Estate	361
Office 102, Libri Business Centre, Libri Lane, Somerset West, 7130		Libri Lane	Somerset West	482
1 Niblick Way, Firgrove Rural, Somerset West, 7130	1	Niblick Way	Firgrove Rural	497
3 Kariga Street, Stikland Industrial, Bellville, 7530	3	Kariga Street	Stikland Industrial	511
Office D8, Block D				514
FARM SONWEELDEROUTE 45 NORTHERN PAARL 7620	45		NORTHERN PAARL	539
1st Floor Market Mall, 84 Market Street, George, Western Cape, South Africa	84	Market Street	George	544
Ground Floor Twin Oaks Centre, 142 Main Road, Somerset West	142	Main Road	Somerset West	545
1st Floor Regkam Building Kort Street (Cnr Voortrekker Road), Bellville, Western Cape, South Africa	Cnr	Kort Street & Voortrekker Road	Bellville	546
