ProviderMasterID1,Provider_ETQA Master_ID,Provider_ETQA Master_Status,Provider_ETQA Master_Provider_ETQA_ID,ProviderID,Provider Name,Group Provider,Postal address,Centre address,Telephone no,House Number,StreetName,Suburb,City,Postal Code,Provider_ETQA_ID,ETQAs_providers_ID,ETQAs_providers_ETQA,ETQAs_providers_Researcher,ETQAs_providers_Status,CourseMasterID1,Courses_ETQA Master_ID,Courses_ETQA Master_Courses_ID,Qualifications_ID,QualCode,QualName,NQF level,Qualification Type,Descriptor,Specialisation,etqas_courses_,Courses_ID,ETQAs_ID,ETQA_ID,ETQAs_Courses_ETQA,ETQAs_Courses_Researcher
2,3804,GETCA blank,716,542,DOORNRIVIER ALC,,,"NIEUWE MORGEN PRIM, SCHERPENHEUWEL, WORCESTER",023-3427633,,SCHERPENHEUWEL,SCHERPENHEUWEL,WORCESTER,,716,12,Adult AET,,Public,2,3804,1296,218,,GETCA,,GETCA,,,,1296,12,2,Adult AET,Tim
3,3805,,718,544,DRAKENSTEIN KORREKTIEWE DIENSTE,,,"DRAKENSTEIN PRISON, WEMMERSHOEK ROAD, PAARL",021-8648118,,WEMMERSHOEK ROAD,PAARL,PAARL,,718,12,Adult AET,,Public,3,3805,1307,219,,GETCA,ABET L1,GETCA,ABET L1,,,1307,12,2,Adult AET,Tim
4,3806,,718,544,DRAKENSTEIN KORREKTIEWE DIENSTE,,,"DRAKENSTEIN PRISON, WEMMERSHOEK ROAD, PAARL",021-8648118,,WEMMERSHOEK ROAD,PAARL,PAARL,,718,12,Adult AET,,Public,4,3806,1319,220,,GETCA,ABET L2,GETCA,ABET L2,,,1319,12,2,Adult AET,Tim
5,3807,,718,544,DRAKENSTEIN KORREKTIEWE DIENSTE,,,"DRAKENSTEIN PRISON, WEMMERSHOEK ROAD, PAARL",021-8648118,,WEMMERSHOEK ROAD,PAARL,PAARL,,718,12,Adult AET,,Public,5,3807,1330,221,,GETCA,ABET L3,GETCA,ABET L3,,,1330,12,2,Adult AET,Tim
6,3808,,718,544,DRAKENSTEIN KORREKTIEWE DIENSTE,,,"DRAKENSTEIN PRISON, WEMMERSHOEK ROAD, PAARL",021-8648118,,WEMMERSHOEK ROAD,PAARL,PAARL,,718,12,Adult AET,,Public,6,3808,1341,222,,GETCA,ABET L4,GETCA,ABET L4,,,1341,12,2,Adult AET,Tim
7,3809,,718,544,DRAKENSTEIN KORREKTIEWE DIENSTE,,,"DRAKENSTEIN PRISON, WEMMERSHOEK ROAD, PAARL",021-8648118,,WEMMERSHOEK ROAD,PAARL,PAARL,,718,12,Adult AET,,Public,7,3809,1363,224,,GETCA,FET Gr10,GETCA,Grade 10,,,1363,12,2,Adult AET,Tim
8,3810,,718,544,DRAKENSTEIN KORREKTIEWE DIENSTE,,,"DRAKENSTEIN PRISON, WEMMERSHOEK ROAD, PAARL",021-8648118,,WEMMERSHOEK ROAD,PAARL,PAARL,,718,12,Adult AET,,Public,8,3810,1374,225,,GETCA,FET Gr11,GETCA,Grade 11,,,1374,12,2,Adult AET,Tim
9,3811,,718,544,DRAKENSTEIN KORREKTIEWE DIENSTE,,,"DRAKENSTEIN PRISON, WEMMERSHOEK ROAD, PAARL",021-8648118,,WEMMERSHOEK ROAD,PAARL,PAARL,,718,12,Adult AET,,Public,9,3811,1385,226,,GETCA,FET GR12,GETCA,Grade 12,,,1385,12,2,Adult AET,Tim
10,3812,,718,544,DRAKENSTEIN KORREKTIEWE DIENSTE,,,"DRAKENSTEIN PRISON, WEMMERSHOEK ROAD, PAARL",021-8648118,,WEMMERSHOEK ROAD,PAARL,PAARL,,718,12,Adult AET,,Public,10,3812,1418,229,,GETCA,Other,GETCA,Other,,,1418,12,2,Adult AET,Tim
14,3816,GETCA blank,718,544,DRAKENSTEIN KORREKTIEWE DIENSTE,,,"DRAKENSTEIN PRISON, WEMMERSHOEK ROAD, PAARL",021-8648118,,WEMMERSHOEK ROAD,PAARL,PAARL,,718,12,Adult AET,,Public,14,3816,1296,218,,GETCA,,GETCA,,,,1296,12,2,Adult AET,Tim
15,3817,,723,552,DWARSRIVIER CORRECTIONALSERVICES,,,"DWARSRIVIER CORRECTIONAL SERVI,DE LIEDFE ROAD, WOLSELEY",023-2311011,,DE LIEDFE ROAD,WOLSELEY,WOLSELEY,,723,12,Adult AET,,Public,15,3817,1307,219,,GETCA,ABET L1,GETCA,ABET L1,,,1307,12,2,Adult AET,Tim
16,3818,,723,552,DWARSRIVIER CORRECTIONALSERVICES,,,"DWARSRIVIER CORRECTIONAL SERVI,DE LIEDFE ROAD, WOLSELEY",023-2311011,,DE LIEDFE ROAD,WOLSELEY,WOLSELEY,,723,12,Adult AET,,Public,16,3818,1319,220,,GETCA,ABET L2,GETCA,ABET L2,,,1319,12,2,Adult AET,Tim
17,3819,,723,552,DWARSRIVIER CORRECTIONALSERVICES,,,"DWARSRIVIER CORRECTIONAL SERVI,DE LIEDFE ROAD, WOLSELEY",023-2311011,,DE LIEDFE ROAD,WOLSELEY,WOLSELEY,,723,12,Adult AET,,Public,17,3819,1330,221,,GETCA,ABET L3,GETCA,ABET L3,,,1330,12,2,Adult AET,Tim
18,3820,,723,552,DWARSRIVIER CORRECTIONALSERVICES,,,"DWARSRIVIER CORRECTIONAL SERVI,DE LIEDFE ROAD, WOLSELEY",023-2311011,,DE LIEDFE ROAD,WOLSELEY,WOLSELEY,,723,12,Adult AET,,Public,18,3820,1341,222,,GETCA,ABET L4,GETCA,ABET L4,,,1341,12,2,Adult AET,Tim
19,3821,,723,552,DWARSRIVIER CORRECTIONALSERVICES,,,"DWARSRIVIER CORRECTIONAL SERVI,DE LIEDFE ROAD, WOLSELEY",023-2311011,,DE LIEDFE ROAD,WOLSELEY,WOLSELEY,,723,12,Adult AET,,Public,19,3821,1363,224,,GETCA,FET Gr10,GETCA,Grade 10,,,1363,12,2,Adult AET,Tim
20,3822,,723,552,DWARSRIVIER CORRECTIONALSERVICES,,,"DWARSRIVIER CORRECTIONAL SERVI,DE LIEDFE ROAD, WOLSELEY",023-2311011,,DE LIEDFE ROAD,WOLSELEY,WOLSELEY,,723,12,Adult AET,,Public,20,3822,1374,225,,GETCA,FET Gr11,GETCA,Grade 11,,,1374,12,2,Adult AET,Tim
21,3823,,723,552,DWARSRIVIER CORRECTIONALSERVICES,,,"DWARSRIVIER CORRECTIONAL SERVI,DE LIEDFE ROAD, WOLSELEY",023-2311011,,DE LIEDFE ROAD,WOLSELEY,WOLSELEY,,723,12,Adult AET,,Public,21,3823,1385,226,,GETCA,FET GR12,GETCA,Grade 12,,,1385,12,2,Adult AET,Tim
