Old_ID,New_ID,_long_description,provider_id
919,919,21 New Street - 21 New Street  Durbanville,477
452,452,2INSPIRE SKILLS TRAINING - 13 Wittebomen Road Constantia,238
453,453,"AAA School of Advertising (Pty) Ltd - 4th Floor Manhattan Place, 130 Bree Street, Cape Town, 8001",738
454,454,"Abbotsdale - Bambinos Creche, Kerkstraat, Abbotsdale",339
456,456,"Academy for Construction Skills (Pty) Ltd (ACS) - 5 Park Street, Cape Town, Western Cape 7550",149
457,457,Academy of Guilds ''design in the making'' - 443 Main Road Observatory CapeTown Western Cape 7701,435
458,458,Academy of People Development Primary Co-operative Limited - 19 Loop Street   Barr Streek Building Cape Town 8001,168
460,460,"ADT SECURITY SERVICES PTY LTD CAPE TOWN - ADT House, 5 Louwtjie Rothman Avenue, N1 City, Goodwood 7463",516
461,461,ADVENTURE QUALIFICATIONS NETWORK cc - 1 Riverine Road  Parklands,766
464,461,ADVENTURE QUALIFICATIONS NETWORK cc - 1 Riverine Road  Parklands,766
463,461,ADVENTURE QUALIFICATIONS NETWORK cc - 1 Riverine Road  Parklands,766
945,945,"AERODYNE ADVANCED ADVANCED COMPOSITES (PTY) LTD (Stellenbosch) - 41 Techno Avenue, Techno Park, Stellenbosch, 7600",631
465,465,Africa Competency Development (Pty) Ltd - Ground Floor Liesbeek House River Park River Lane Mowbray 7945,537
466,466,"Africa Skills Training solutions - C/O Church + Marsh STR, Mossel Bay, 6506",754
467,467,"Africa Skills Village - 133 Mitchell Street, George",401
468,468,Africa Stereos - 10 Third Street,595
469,469,"African Resources and Financial Training - Unit 10 Petrusa Park, Petrusa Street, Bellville, 7530",621
950,950,"AG HILL T/A DISA MOTORS WORKSHOP & C V JOINT SPECIALIST (Paarl) - 240 Main Road, PAARL, 7646",285
470,470,AG Training and Accreditation Solutions - 0,77
472,472,"Albertina CLC - YOUTH CENTRE, DIEPKLOOF, HEIDELBERG",507
473,473,"Alcari Learning Centre ( Pty) Ltd - Unit 1, 4 Nina Street, Brackenfell, 7560",740
474,474,"ALEXA SECURITY SOLUTIONS (PTY) LTD - 4 Queens Park Avenue, Salt River, Cape Town 7925",236
475,475,ALIVE P T L CC - 4 Beyers Road  Woodstock,163
977,977,"ALL DIESEL ENGINE PIPES T/A ADE PIPES (Kraaifontein) - P O Box 1034, KRAAIFONTEIN, 7570",371
476,476,Allandale Education And Training - Meaker Street Huguenot Paarl,357
477,477,Allflex Packaging cc - Unit 10A Central Park,535
983,983,"Allweld Solutions (Pty) Ltd (MAITLAND) (TP) - P O Box 145, Howard Place, PINELANDS",792
478,478,"Aloe Community and Leanring Center - Prince Alber Primary, Ensilina Street, Prince Albert",778
480,480,"Alpha ALC - School Sttreet, Standford, Standford",17
992,992,"ALPHA PRESISIE INGENIEURSWESE (EDMS) BPK (Stellenbosch) - 7 A Delson Circle, Somerset Business Park, Somerset West, 7601",351
481,481,"Alpine Adult Learing Center - Alpine Way, Beacon Valley, Mitchells Plain",713
1001,1001,"ALSTOM SATCHWELL CONTROLS (Southern Paarl) - Private Bag X6002, SOUTHERN PAARL, 7624",376
482,482,"Altimax (Pty) Ltd - Office 102, Libri Business Centre, Libri Lane, Somerset West, 7130",474
483,483,"Amlec Training Centre - 13 Prema Business Park, Engine Road, Montague Gardens, Cape Town, 7442",197
484,484,ANCHOR YEAST TECHNOLOGIES PTY LTD_(MEMB VOL LIQ) - BREE STREET 169A CAPE TOWN,337
485,485,"ANDRE ENGELBRECHT ENGINEERING cc (Stikland) - 24 Kariga Street, STIKLAND",91
486,486,"Anne Pienaar Primer - Jakkalsfontein, Paarl Road, Malmesbury",167
487,487,APL Cartons (Pty) Ltd - APL Cartons,143
489,489,APPLETISER MANUFACTURING - APPLETISER ROAD GRABOUW,408
490,490,Apsol cc - 0,225
491,491,"ARCHMAN POWER DIESELS CC (Brackenveldt) (DTTC) - 4 Reier Street, Okavango Industrial Area, Brackenveldt",597
492,492,"Aresta Community Learning Center - Beverly Street, Kewtown",660
493,493,Aries Carton and Screenprint - 10 Lood Street,490
494,494,"Ashton CLC - THUSONG BUILDING, PADDY STREET, ROBERTSO",368
496,496,"ATLANTIS ALC (AVOS) - H/V GROSVENOR & HERMES LAAN, SAXONSEA, ATLANTIS",669
