ORIGINAL ID,NEW ID,primary_institution,website
477,477,21 New Street ,
238,238,2INSPIRE SKILLS TRAINING,
738,738,AAA School of Advertising (Pty) Ltd,
339,339,Abbotsdale,
149,149,Academy for Construction Skills (Pty) Ltd (ACS)?ÿ,
435,435,Academy of Guilds ''design in the making'',
168,168,Academy of People Development Primary Co-operative Limited,
516,516,ADT SECURITY SERVICES PTY LTD CAPE TOWN?ÿ,
766,766,ADVENTURE QUALIFICATIONS NETWORK cc,
631,631,AERODYNE ADVANCED ADVANCED COMPOSITES (PTY) LTD (Stellenbosch),
537,537,Africa Competency Development (Pty) Ltd,
754,754,Africa Skills Training solutions,
401,401,Africa Skills Village,
595,595,Africa Stereos,
621,621,African Resources and Financial Training,
285,285,AG HILL T/A DISA MOTORS WORKSHOP & C V JOINT SPECIALIST (Paarl),
77,77,AG Training and Accreditation Solutions,
507,507,Albertina CLC,
740,740,Alcari Learning Centre ( Pty) Ltd,
236,236,ALEXA SECURITY SOLUTIONS (PTY) LTD?ÿ,
163,163,ALIVE P T L CC,
371,371,ALL DIESEL ENGINE PIPES T/A ADE PIPES (Kraaifontein),
357,357,Allandale Education And Training,
535,535,Allflex Packaging cc,
792,792,Allweld Solutions (Pty) Ltd (MAITLAND) (TP),
778,778,Aloe Community and Leanring Center,
17,17,Alpha ALC,
351,351,ALPHA PRESISIE INGENIEURSWESE (EDMS) BPK (Stellenbosch),
713,713,Alpine Adult Learing Center,
376,376,ALSTOM SATCHWELL CONTROLS (Southern Paarl),
474,474,Altimax (Pty) Ltd?ÿ,
197,197,Amlec Training Centre?ÿ,
337,337,ANCHOR YEAST TECHNOLOGIES PTY LTD_(MEMB VOL LIQ),
91,91,ANDRE ENGELBRECHT ENGINEERING cc (Stikland),
167,167,Anne Pienaar Primer,
143,143,APL Cartons (Pty) Ltd,
408,408,APPLETISER MANUFACTURING,
225,225,Apsol cc,
597,597,ARCHMAN POWER DIESELS CC (Brackenveldt) (DTTC),
660,660,Aresta Community Learning Center,
490,490,Aries Carton and Screenprint,
368,368,Ashton CLC,
669,669,ATLANTIS ALC (AVOS),
508,508,Aucamp Scholtz Lubbe Inc?ÿ,
704,704,AURORA,
386,386,AUTO BODY COACH WORKS (Parow),
601,601,AUTO MECHANICAL SERVICES (Beaufort West),
579,579,B.E.S.T CENTRE,
140,140,BABBEL EN KRABBEL,
679,679,Bantubanye Skills?ÿ,
633,633,BARLOWORLD TOYOTA (Tygervalley),
269,269,BARRYS PIPING & WELDING SERVICES (Epping),
185,109,BDCE (Pty) Ltd,
465,465,BEARMA STAAL BK (Paarl),
280,280,BEAUFORT WEST AND KAROO COMMUNITY LEARN,
757,757,BEAUFORT WEST TRUCK CENTRE (Beaufort West),
528,528,BEAUFORT-WES SEK,
96,96,Belcomec Training,
681,681,BELGIAN AMERICAN MOTORS (Montague Gardens),
326,326,BELHAR SECONDARY ALC,
616,616,BELLVILLE MECHANICAL WORKSHOP (Bellville South),
553,553,BELMET TRAINING CENTRE T/A BELMET MARINE (PTY) LTD (Bellville)(TP),
682,682,Bennet J Financial Services?ÿ,
775,775,BERGHOF,
199,199,BERGSIG,
193,193,Bernard Shaw Ouditeure Ing?ÿ,
693,693,BEYERS TRUST FARMS,
642,642,BISSETSDRIFT,
461,461,BITTERFONTEIN SITE,
334,334,BLANCO CLC,
144,144,BLOEKOMBOS ALC,
708,708,Boland Agri Training & Community Development Centre,
800,171,Boland College,
385,171,Boland College (Worcester Campus) (WORCESTER) (TP),
112,112,Boland Drukpers,
171,171,Boland FET College,
49,49,BONGOLETHU CLC,
107,107,BONNIEVALE CLC,
644,644,BONTEHEUWEL-BISHOP LAVIS CLC,
177,177,Bosch Rekenmeesters?ÿ,
