ProviderID,Provider Name,Group Provider,Email,Postal address,Centre address,Telephone no,Room_Floor,Building,House Number,StreetName,Mini_Suburb,Suburb,City,Postal Code,Comment,Website,ContactName,ContactSurname,ID,ETQAs_providers_ID,OldStreetData,Old_Room_Floor,Old_Building,Old_House Number,Old_StreetName,Old_Suburb,Old_City,Old_Postal Code
1,GRAHAMS AIR CONDITIONING (PTY) LTD (Strand),,davegray@iafrica.com,"261 Main Road, STRAND, 7140","261 Main Road, STRAND, 7140",021 853-3180,,,261,Main Road,,STRAND,STRAND,7140,,,Duplicate Suburb/City,,1,8,Rough Work,,,,261 Main Road,STRAND,,7140
10,ISCOR LTD - SALDANHA STEEL (Saldanha),,www.arcelormittalsa.com,"Private Bag X11, SALDANHA, 7395","Business Centre - Saldanha Site, Yzervarkruggens, SALDANHA, 7395",022 709 4000,,Business Centre -,,Saldanha Site,,Yzervarkruggens,SALDANHA,7395,,,,,2,8,Rough Work,,,,Business Centre - Saldanha Site,Yzervarkruggens,,7395
100,BARLOWORLD MOTORS (PTY) LTD T/A AUTO ATLANTIC (Cape Town),,www.barloworld-equipment.com,"Electron Ave, Isando, Gauteng, 1600","Electron Ave, Isando, Gauteng, 1600",,,,,Electron Ave,,Isando,,1600,OTHER PROVINCE,,,,3,8,Rough Work,,,,Electron Ave,Isando,,1600
1000,Nexia Cape Financial Services CC ,,mail@nexiasa.com,"P O Box 85
Century City
7446","B4 Century Square 
Heron Crescnt 
Century C 
7441",021 527 3400,B4,Century Square,,Heron Crescent,,Century City,Cape Town,7441,,,,,4,2,Rough Work,B4,Century Square,,Heron Crescent,Century City,,7441
1001,NID - National Institute for the Deaf,,community.college@nid.org.za,P.O Box 941 Worcester 6849,30 De la Bat Road Roux Park Worcester Western Cape 6850,023-347 3546,,,30,De la Bat Road Roux Park,,Worcester,Worcester,6850,,,Duplicate Suburb/City,,5,9,Rough Work,,,,30 De la Bat Road Roux Park Worcester Western Cape 6850,,,6850
1002,NISSENVILLE,,,,"Van Eycklaan, Ladismith Sekonder, LADISMITH",028-5511984,,Ladismith Sekonder,,Van Eycklaan,,LADISMITH,,,,,,,6,12,Rough Work,,Ladismith Sekonder,,Van Eycklaan,LADISMITH,,
1004,NOLUNGILE ALC,,,,"INTKANGANISO HS, NJONGO STREET, KHAYELITSHA",021-3619335,,INTKANGANISO HS,,NJONGO STREET,,KHAYELITSHA,KHAYELITSHA,,,,,,7,12,Rough Work,,INTKANGANISO HS,,NJONGO STREET,KHAYELITSHA,KHAYELITSHA,
1005,NOLUTHANDO SCHOOL FOR THE DEAF,,,,"LANSDOWNE ROAD, SITE B, KHAYELITSHA",021-3611160,,,,LANSDOWNE ROAD,,SITE B,KHAYELITSHA,,,,,,8,12,Rough Work,,,,LANSDOWNE ROAD,SITE B,KHAYELITSHA,
1006,NOMZAMO CLC,,,,"A.C.J PHAKADE PRIM, NOXOLO STEET, STRAND",021-8455656,,A.C.J PHAKADE PRIM,,NOXOLO STREET,,STRAND,STRAND,,,,,,9,12,Rough Work,,A.C.J PHAKADE PRIM,,NOXOLO STREET,STRAND,STRAND,
1007,North Star Solutions cc,,tony@northstarsolutions.co.za,"12 Bosbok Road, Aurora Durbanville Cape Town 7550","12 Bosbok Road, Aurora Durbanville Cape Town 7550",021-976 6600,,,12,Bosbok Road,Aurora,Durbanville,Cape Town,7550,,,,,10,19,Rough Work,,,,12 Bosbok Road,Aurora Durbanville Cape Town 7550,,7550
