ProviderMasterID1,ID,Enrolled,Wrote exams,Passed,Status,Qualifications_ID,QualCode,QualName,Credits,NQF level,Qualification Type,Descriptor,Specialisation,Field,Provider_ETQA_ID
2,3804,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,716
3,3805,,,,,219,,GETCA,,ABET L1,GETCA,,,,718
4,3806,,,,,220,,GETCA,,ABET L2,GETCA,,,,718
5,3807,,,,,221,,GETCA,,ABET L3,GETCA,,,,718
6,3808,,,,,222,,GETCA,,ABET L4,GETCA,,,,718
7,3809,,,,,224,,GETCA,,FET Gr10,GETCA,,,,718
8,3810,,,,,225,,GETCA,,FET Gr11,GETCA,,,,718
9,3811,,,,,226,,GETCA,,FET GR12,GETCA,,,,718
10,3812,,,,,229,,GETCA,,Other,GETCA,,,,718
14,3816,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,718
15,3817,,,,,219,,GETCA,,ABET L1,GETCA,,,,723
16,3818,,,,,220,,GETCA,,ABET L2,GETCA,,,,723
17,3819,,,,,221,,GETCA,,ABET L3,GETCA,,,,723
18,3820,,,,,222,,GETCA,,ABET L4,GETCA,,,,723
19,3821,,,,,224,,GETCA,,FET Gr10,GETCA,,,,723
20,3822,,,,,225,,GETCA,,FET Gr11,GETCA,,,,723
21,3823,,,,,226,,GETCA,,FET GR12,GETCA,,,,723
22,3824,,,,,229,,GETCA,,Other,GETCA,,,,723
26,3828,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,723
27,3829,,,,,219,,GETCA,,ABET L1,GETCA,,,,770
28,3830,,,,,220,,GETCA,,ABET L2,GETCA,,,,770
29,3831,,,,,221,,GETCA,,ABET L3,GETCA,,,,770
30,3832,,,,,222,,GETCA,,ABET L4,GETCA,,,,770
31,3833,,,,,224,,GETCA,,FET Gr10,GETCA,,,,770
32,3834,,,,,225,,GETCA,,FET Gr11,GETCA,,,,770
33,3835,,,,,226,,GETCA,,FET GR12,GETCA,,,,770
34,3836,,,,,229,,GETCA,,Other,GETCA,,,,770
38,3840,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,770
39,3841,,,,,219,,GETCA,,ABET L1,GETCA,,,,771
40,3842,,,,,220,,GETCA,,ABET L2,GETCA,,,,771
41,3843,,,,,221,,GETCA,,ABET L3,GETCA,,,,771
42,3844,,,,,222,,GETCA,,ABET L4,GETCA,,,,771
43,3845,,,,,224,,GETCA,,FET Gr10,GETCA,,,,771
44,3846,,,,,225,,GETCA,,FET Gr11,GETCA,,,,771
45,3847,,,,,226,,GETCA,,FET GR12,GETCA,,,,771
46,3848,,,,,229,,GETCA,,Other,GETCA,,,,771
50,3852,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,771
51,3853,,,,,219,,GETCA,,ABET L1,GETCA,,,,798
52,3854,,,,,220,,GETCA,,ABET L2,GETCA,,,,798
53,3855,,,,,221,,GETCA,,ABET L3,GETCA,,,,798
54,3856,,,,,222,,GETCA,,ABET L4,GETCA,,,,798
55,3857,,,,,224,,GETCA,,FET Gr10,GETCA,,,,798
56,3858,,,,,225,,GETCA,,FET Gr11,GETCA,,,,798
57,3859,,,,,226,,GETCA,,FET GR12,GETCA,,,,798
58,3860,,,,,229,,GETCA,,Other,GETCA,,,,798
62,3864,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,798
63,3865,,,,,219,,GETCA,,ABET L1,GETCA,,,,823
64,3866,,,,,220,,GETCA,,ABET L2,GETCA,,,,823
65,3867,,,,,221,,GETCA,,ABET L3,GETCA,,,,823
66,3868,,,,,222,,GETCA,,ABET L4,GETCA,,,,823
67,3869,,,,,224,,GETCA,,FET Gr10,GETCA,,,,823
68,3870,,,,,225,,GETCA,,FET Gr11,GETCA,,,,823
69,3871,,,,,226,,GETCA,,FET GR12,GETCA,,,,823
70,3872,,,,,229,,GETCA,,Other,GETCA,,,,823
74,3876,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,823
75,3877,,,,,219,,GETCA,,ABET L1,GETCA,,,,824
76,3878,,,,,220,,GETCA,,ABET L2,GETCA,,,,824
77,3879,,,,,221,,GETCA,,ABET L3,GETCA,,,,824
78,3880,,,,,222,,GETCA,,ABET L4,GETCA,,,,824
79,3881,,,,,224,,GETCA,,FET Gr10,GETCA,,,,824
80,3882,,,,,225,,GETCA,,FET Gr11,GETCA,,,,824
81,3883,,,,,226,,GETCA,,FET GR12,GETCA,,,,824
82,3884,,,,,229,,GETCA,,Other,GETCA,,,,824
86,3888,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,824
87,3889,,,,,219,,GETCA,,ABET L1,GETCA,,,,833
88,3890,,,,,220,,GETCA,,ABET L2,GETCA,,,,833
89,3891,,,,,221,,GETCA,,ABET L3,GETCA,,,,833
90,3892,,,,,222,,GETCA,,ABET L4,GETCA,,,,833
91,3893,,,,,224,,GETCA,,FET Gr10,GETCA,,,,833
92,3894,,,,,225,,GETCA,,FET Gr11,GETCA,,,,833
93,3895,,,,,226,,GETCA,,FET GR12,GETCA,,,,833
94,3896,,,,,229,,GETCA,,Other,GETCA,,,,833
98,3900,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,833
99,3901,,,,,219,,GETCA,,ABET L1,GETCA,,,,835
100,3902,,,,,220,,GETCA,,ABET L2,GETCA,,,,835
101,3903,,,,,221,,GETCA,,ABET L3,GETCA,,,,835
102,3904,,,,,222,,GETCA,,ABET L4,GETCA,,,,835
103,3905,,,,,224,,GETCA,,FET Gr10,GETCA,,,,835
104,3906,,,,,225,,GETCA,,FET Gr11,GETCA,,,,835
105,3907,,,,,226,,GETCA,,FET GR12,GETCA,,,,835
106,3908,,,,,229,,GETCA,,Other,GETCA,,,,835
110,3912,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,835
111,3697,,,,,219,,GETCA,,ABET L1,GETCA,,,,537
112,3698,,,,,220,,GETCA,,ABET L2,GETCA,,,,537
113,3699,,,,,221,,GETCA,,ABET L3,GETCA,,,,537
114,3700,,,,,222,,GETCA,,ABET L4,GETCA,,,,537
115,3701,,,,,224,,GETCA,,FET Gr10,GETCA,,,,537
116,3702,,,,,225,,GETCA,,FET Gr11,GETCA,,,,537
117,3703,,,,,226,,GETCA,,FET GR12,GETCA,,,,537
118,3704,,,,,229,,GETCA,,Other,GETCA,,,,537
122,3708,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,537
123,3709,,,,,219,,GETCA,,ABET L1,GETCA,,,,547
124,3710,,,,,220,,GETCA,,ABET L2,GETCA,,,,547
125,3711,,,,,221,,GETCA,,ABET L3,GETCA,,,,547
126,3712,,,,,222,,GETCA,,ABET L4,GETCA,,,,547
127,3713,,,,,224,,GETCA,,FET Gr10,GETCA,,,,547
128,3714,,,,,225,,GETCA,,FET Gr11,GETCA,,,,547
129,3715,,,,,226,,GETCA,,FET GR12,GETCA,,,,547
130,3716,,,,,229,,GETCA,,Other,GETCA,,,,547
134,3720,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,547
135,3721,,,,,219,,GETCA,,ABET L1,GETCA,,,,549
136,3722,,,,,220,,GETCA,,ABET L2,GETCA,,,,549
