ProviderID,Provider Name,Email,Postal address,Centre address,Telephone no,House Number,StreetName,Suburb,Postal Code,Website,ContactName,ContactSurname,ID
1, GRAHAMS AIR CONDITIONING (PTY) LTD (Strand),davegray@iafrica.com,"261 Main Road, STRAND, 7140","261 Main Road, STRAND, 7140",021 853-3180,Rough Work,261 Main Road,STRAND,7140,,,,1
10, ISCOR LTD - SALDANHA STEEL (Saldanha),www.arcelormittalsa.com,"Private Bag X11, SALDANHA, 7395","Business Centre - Saldanha Site, Yzervarkruggens, SALDANHA, 7395",022 709 4000,Rough Work,Business Centre - Saldanha Site,Yzervarkruggens,7395,,,,2
100, BARLOWORLD MOTORS (PTY) LTD T/A AUTO ATLANTIC (Cape Town),www.barloworld-equipment.com,"Electron Ave, Isando, Gauteng, 1600","Electron Ave, Isando, Gauteng, 1600",,Rough Work,Electron Ave,Isando,1600,,,,3
1000,Nexia Cape Financial Services CC ,mail@nexiasa.com,"P O Box 85
Century City
7446","B4 Century Square
Heron Crescent
Century C 
7441",021 527 3400,Rough Work,B4 Century Square,,7441,,,,4
1001,NID - National Institute for the Deaf,community.college@nid.org.za,P.O Box 941 Worcester 6849,30 De la Bat Road Roux Park Worcester Western Cape 6850,023-347 3546,Rough Work,30 De la Bat Road Roux Park Worcester Western Cape 6850,,6850,,,,5
1002,NISSENVILLE,,,"Van Eycklaan, Ladismith Sekonder, LADISMITH",028-5511984,Rough Work,Van Eycklaan,Ladismith Sekonder,,,,,6
1004,NOLUNGILE ALC,,,"INTKANGANISO HS, NJONGO STREET, KHAYELITSHA",021-3619335,Rough Work,INTKANGANISO HS,NJONGO STREET,,,,,7
1005,NOLUTHANDO SCHOOL FOR THE DEAF,,,"LANSDOWNE ROAD, SITE B, KHAYELITSHA",021-3611160,Rough Work,LANSDOWNE ROAD,SITE B,,,,,8
1006,NOMZAMO CLC,,,"A.C.J PHAKADE PRIM, NOXOLO STEET, STRAND",021-8455656,Rough Work,A.C.J PHAKADE PRIM,NOXOLO STEET,,,,,9
1007,North Star Solutions cc,tony@northstarsolutions.co.za,"12 Bosbok Road, Aurora Durbanville Cape Town 7550","12 Bosbok Road, Aurora Durbanville Cape Town 7550",021-976 6600,Rough Work,12 Bosbok Road,Aurora Durbanville Cape Town 7550,7550,,,,10
1009,Northlink (Bellville),,Bellville Campus Sackson Street BELLVILLE SOUTH 7530,Bellville Campus Sackson Street BELLVILLE SOUTH 7530,767348319,Rough Work,Bellville Campus Sackson Street BELLVILLE SOUTH 7530,,7530,,,,11
101, BARLOWORLD TOYOTA (Tygervalley),dbvtoysem@bmh.co.za,"Suite 110, Private Bag X7, TYGERVALLEY, 7536","282 Durban Road, Oakdale, TYGERVALLEY, 7530",021 910 8000,Rough Work,282 Durban Road,Oakdale,7530,,,,12
